appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,18,101,Sk-Doxa 4,Doxazosin Mesylate tương đương Doxazosin 4mg,Viên nén,Hộp 3 vỉ x 10 viên,USP 2024,24,890110056026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,102,Iodopol,Natri Iodid (131I) 37 - 7.400 (1 -200 mCi) MBq,Viên nang cứng,Hộp (polypropylene) 01 lọ chứa 01 viên nang cứng được đóng gói trong thùng chì,EP hiện hành,21 ngày,590116056126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,103,Gelatum aluminii phosphorici aflofarm,Aluminum phosphate gel 45mg/g,Hỗn dịch uống,"Chai 250 gam, Chai thủy tinh, nắp nhôm kèm cốc phân liều",NSX,36,590100056226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,104,Capecitabine Tablets 150 mg,Capecitabin 150mg,Viên nén bao phim,Hộp 12 vỉ x 10 viên,NSX,24,890114056326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,105,Nexium,"Esomeprazol natri (tương đương esomeprazol 40mg) 42,5mg",Bột đông khô pha tiêm/tiêm truyền,"Hộp 1 lọ, chứa bột đông khô pha tiêm/ tiêm truyền 40mg",NSX,30,690110056426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,106,Faslodex,Fulvestrant 250mg/5ml,Dung dịch tiêm,Hộp chứa 2 bơm tiêm có chứa sẵn 5ml dung dịch thuốc và 2 kim tiêm an toàn,NSX,48,400114056526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,107,Xarelto,Rivaroxaban 10mg,Viên nén bao phim,Hộp 1 vỉ x 14 viên,EP hiện hành,36,400110056626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,108,Drospirenone/ Ethinylestradiol,"Drospirenone 3mg, Ethinylestradiol 0,03mg",Viên nén bao phim,Hộp 1 vỉ x 21 viên,NSX,36,400110056726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,109,Pencilas 50mg,"Caspofungin (dưới dạng Caspofungin acetate 55,48mg) 50mg",Bột đông khô pha dung dịch tiêm truyền,"Lọ, Hộp 1 lọ, hộp 10 lọ hoặc hộp 50 lọ",NSX,24,520110056826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,110,Pencilas 70mg,"Caspofungin (dưới dạng Caspofungin acetate 77,67mg) 70mg",Bột đông khô pha dung dịch tiêm truyền,"Lọ, Hộp 1 lọ, hộp 10 lọ hoặc hộp 50 lọ",NSX,24,520110056926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,111,Talocif,Mỗi chai 100ml chứa: Ciprofloxacin (dưới dạng Ciprofloxacin lactat 254mg) 200mg,Dung dịch truyền tĩnh mạch,Hộp 24 chai x 100ml,NSX,36,520115057026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,112,Dienopil,Dienogest 2mg,viên nén,Hộp 28 viên,NSX,24,840110057126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,113,Azetam 10/20,"Atorvastatin (tương đương Atorvastatin calci trihydrat 21,7mg) 20mg, Ezetimib 10mg",Viên nén bao phim,Hộp 3 vỉ x 10 viên,NSX,36,880110057226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,114,Adige Nizatidine 150 mg,Nizatidine 150mg,Viên nang cứng,Hộp 3 vỉ x 10 viên,USP,36,880110057326,,
